Circuito,Entrenamientos,Neumáticos,ModoPilotaje,CargaCombustible,TemperaturaPista,GomaEnPista,AgarreAsfalto,Clima,Sobrecalentamiento,VidaNeumatico,CantidadAgua,ConfianzaPilotoPista,ConfianzaPilotoCoche,DesgasteVuelta,Piloto,Trafico,CombustibleAlto,SafetyCar,TiempoVuelta
Bahrein,True,Soft,Balanced,45.7,31,VeryLow,Average,Cloudy,False,96,0.0,1,51,4.0,Sainz,False,False,False,95.485
Bahrein,True,Soft,Balanced,36.3,31,VeryLow,Average,Cloudy,False,96,0.0,1,41,4.0,Leclerc,False,False,False,95.009
Bahrein,True,Soft,Balanced,43.8,31,VeryLow,Average,Cloudy,False,92,0.0,1,51,4.0,Sainz,False,False,False,95.367
Bahrein,True,Soft,Balanced,34.3,31,VeryLow,Average,Cloudy,False,92,0.0,1,41,4.0,Leclerc,False,False,False,95.016
Bahrein,True,Soft,Balanced,42.0,31,VeryLow,Average,Cloudy,False,88,0.0,2,51,4.0,Sainz,False,False,False,95.327
Bahrein,True,Soft,Balanced,32.4,31,VeryLow,Average,Cloudy,False,88,0.0,2,41,4.0,Leclerc,False,False,False,94.959
Bahrein,True,Soft,Balanced,40.1,31,VeryLow,Average,Cloudy,False,84,0.0,2,51,4.0,Sainz,False,False,False,95.268
Bahrein,True,Soft,Balanced,30.6,31,VeryLow,Average,Cloudy,False,84,0.0,2,41,3.0,Leclerc,False,False,False,94.949
Bahrein,True,Soft,Balanced,38.3,31,VeryLow,Average,Cloudy,False,80,0.0,2,51,4.0,Sainz,True,False,False,96.159
Bahrein,True,Soft,Balanced,28.8,31,VeryLow,Average,Cloudy,False,81,0.0,2,41,4.0,Leclerc,False,False,False,94.947
Bahrein,True,Soft,Push,36.4,31,VeryLow,Average,Cloudy,False,76,0.0,3,51,5.0,Sainz,True,False,False,95.9
Bahrein,True,Soft,Balanced,27.0,31,VeryLow,Average,Cloudy,False,77,0.0,3,41,4.0,Leclerc,False,False,False,95.163
Bahrein,True,Soft,Push,34.6,31,VeryLow,Average,Cloudy,False,71,0.0,4,51,6.0,Sainz,True,False,False,97.531
Bahrein,True,Soft,Push,25.2,31,VeryLow,Average,Cloudy,False,73,0.0,4,41,5.0,Leclerc,False,False,False,94.593
Bahrein,True,Soft,Push,32.7,31,VeryLow,Average,Sunny,False,65,0.0,5,51,6.0,Sainz,False,False,False,95.352
